article_id,ticker,company,subject,description,category,attachment_url,broadcast_date,sort_date,company_name,industry,exchange,source,ingested_at
71cd0f759972bf87d8b1debbd8f7f0ef,TMPV,Tata Motors,Cessation,"Tata Motors Passenger Vehicles Limited has informed the Exchange regarding Cessation of Mr Om Prakash Bhatt as Non- Executive Independent Director of the company w.e.f. March 08, 2026.",Cessation,https://nsearchives.nseindia.com/corporate/TATAMOTORSSJS_08032026113105_LetterNSEBSEOPBhatt.pdf,08-Mar-2026 11:31:20,2026-03-08 11:31:19,Tata Motors Passenger Vehicles Limited,,NSE,nse_announcements,2026-03-19T05:07:17.948103
80381f9886d046d9d802b00fa50d63aa,TMPV,Tata Motors,Press Release,"Tata Motors Passenger Vehicles Limited has informed the Exchange regarding a press release dated March 01, 2026, titled ""Tata Motors Passenger Vehicles Limited (formerly Tata Motors Limited) Monthly Sales - February 2026"".",Press Release,https://nsearchives.nseindia.com/corporate/TATAMOTORSSJS_01032026125037_NSEBSEPVSALES.pdf,01-Mar-2026 12:51:26,2026-03-01 12:51:24,Tata Motors Passenger Vehicles Limited,,NSE,nse_announcements,2026-03-19T05:07:17.948103
3f6a11981ef7e00805de02cb8e61a804,TMPV,Tata Motors,Analysts/Institutional Investor Meet/Con. Call Updates,Tata Motors Passenger Vehicles Limited has informed the Exchange about Schedule of meet,Analysts/Institutional Investor Meet/Con. Call Updates,https://nsearchives.nseindia.com/corporate/TATAMOTORSSJS_19022026173251_LetterNSEBSEAnalystMeet.pdf,19-Feb-2026 17:33:04,2026-02-19 17:33:03,Tata Motors Passenger Vehicles Limited,,NSE,nse_announcements,2026-03-19T05:07:17.948103
a5ef5fcd79e8e4e4d4f6210bf5edb9da,TMPV,Tata Motors,ESOP/ESOS/ESPS,"Tata Motors Passenger Vehicles Limited has informed the Exchange regarding Allotment of 46,190 Ordinary/Equity Shares.",ESOP/ESOS/ESPS,https://nsearchives.nseindia.com/corporate/TATAMOTORSSJS_18022026173826_NSEBSEESOP.pdf,18-Feb-2026 17:39:48,2026-02-18 17:39:47,Tata Motors Passenger Vehicles Limited,,NSE,nse_announcements,2026-03-19T05:07:17.948103
dfbdc41cbfa308a8ac9b77896ff6f1ab,TMPV,Tata Motors,Analysts/Institutional Investor Meet/Con. Call Updates,Tata Motors Passenger Vehicles Limited has informed the Exchange about Transcript,Analysts/Institutional Investor Meet/Con. Call Updates,https://nsearchives.nseindia.com/corporate/TATAMOTORSSJS_11022026205129_NSEBSETRANSCRIPT_signed.pdf,11-Feb-2026 20:51:38,2026-02-11 20:51:37,Tata Motors Passenger Vehicles Limited,,NSE,nse_announcements,2026-03-19T05:07:17.948103
130a715b1e138b3f8b22786e0e38dee7,TMPV,Tata Motors,Analysts/Institutional Investor Meet/Con. Call Updates,Tata Motors Passenger Vehicles Limited has informed the Exchange about Schedule of meet,Analysts/Institutional Investor Meet/Con. Call Updates,https://nsearchives.nseindia.com/corporate/TATAMOTORSSJS_09022026150538_LetterNSEBSEAnalystMeet.pdf,09-Feb-2026 15:06:10,2026-02-09 15:06:09,Tata Motors Passenger Vehicles Limited,,NSE,nse_announcements,2026-03-19T05:07:17.948103
40b39ac74af16629bf04431c65b7dd71,TMPV,Tata Motors,Copy of Newspaper Publication,Tata Motors Passenger Vehicles Limited has informed the Exchange about Copy of Newspaper Publication,Copy of Newspaper Publication,https://nsearchives.nseindia.com/corporate/TATAMOTORSSJS_06022026100259_NSEBSENEWSPAPER.pdf,06-Feb-2026 10:03:24,2026-02-06 10:03:24,Tata Motors Passenger Vehicles Limited,,NSE,nse_announcements,2026-03-19T05:07:17.948103
62569d9386280e1d30bee3faad15deb8,TMPV,Tata Motors,Analysts/Institutional Investor Meet/Con. Call Updates,Tata Motors Passenger Vehicles Limited has informed the Exchange about Link of Recording,Analysts/Institutional Investor Meet/Con. Call Updates,https://nsearchives.nseindia.com/corporate/TATAMOTORSSJS_05022026212830_Audioandtranscriptletter.pdf,05-Feb-2026 21:29:08,2026-02-05 21:29:07,Tata Motors Passenger Vehicles Limited,,NSE,nse_announcements,2026-03-19T05:07:17.948103
012699ab64d62544bc4d04ef14752b96,TMPV,Tata Motors,Analysts/Institutional Investor Meet/Con. Call Updates,Tata Motors Passenger Vehicles Limited has informed the Exchange about Schedule of meet,Analysts/Institutional Investor Meet/Con. Call Updates,https://nsearchives.nseindia.com/corporate/TATAMOTORSSJS_05022026190640_LetterNSEBSEAnalystMeet.pdf,05-Feb-2026 19:06:55,2026-02-05 19:06:53,Tata Motors Passenger Vehicles Limited,,NSE,nse_announcements,2026-03-19T05:07:17.948103
28356a35caa56111467be49202daa4de,TMPV,Tata Motors,Investor Presentation,Tata Motors Passenger Vehicles Limited has informed the Exchange about Investor Presentation,Investor Presentation,https://nsearchives.nseindia.com/corporate/TATAMOTORSSJS_05022026160855_NSEBSEINVESTORPRESENTATION.pdf,05-Feb-2026 16:09:26,2026-02-05 16:09:25,Tata Motors Passenger Vehicles Limited,,NSE,nse_announcements,2026-03-19T05:07:17.948103
