article_id,ticker,company,subject,description,category,attachment_url,broadcast_date,sort_date,company_name,industry,exchange,source,ingested_at
2f6b468cfb08475d4d13ef8dd1eb34aa,BAJAJ-AUTO,Bajaj Auto,Outcome of Board Meeting,"Bajaj Auto Limited has informed the Exchange regarding Outcome of Board Meeting held on March 18, 2026 -  Re-appointment of Whole-time Director of the Company.",Outcome of Board Meeting,https://nsearchives.nseindia.com/corporate/lkwalimbe_bajajauto_co_in_18032026174436_SE_-__ED_PS.pdf,18-Mar-2026 17:44:50,2026-03-18 17:44:49,Bajaj Auto Limited,Automobiles - 2 And 3 Wheelers,NSE,nse_announcements,2026-03-19T05:07:19.376238
48c3c9e47c9d51a6e66fc091c57f885b,BAJAJ-AUTO,Bajaj Auto,Copy of Newspaper Publication,Bajaj Auto Limited has informed the Exchange about Copy of Newspaper Publication regarding the Notice of Special Window for Transfer and Dematerialisation of Physical Securities,Copy of Newspaper Publication,https://nsearchives.nseindia.com/corporate/lkwalimbe_bajajauto_co_in_13032026143445_SE_-_Special_Window.pdf,13-Mar-2026 14:35:23,2026-03-13 14:35:22,Bajaj Auto Limited,Automobiles - 2 And 3 Wheelers,NSE,nse_announcements,2026-03-19T05:07:19.376238
be63f5fc949e5285d77c7e399890b94e,BAJAJ-AUTO,Bajaj Auto,Credit Rating,Bajaj Auto Limited has informed the Exchange about Credit Rating,Credit Rating,https://nsearchives.nseindia.com/corporate/lkwalimbe_bajajauto_co_in_07032026133747_SE_-_BACL_Credit_Rating_07_March_2026.pdf,07-Mar-2026 13:38:43,2026-03-07 13:38:42,Bajaj Auto Limited,Automobiles - 2 And 3 Wheelers,NSE,nse_announcements,2026-03-19T05:07:19.376238
7717fe250142a9c063ef884769ac8417,BAJAJ-AUTO,Bajaj Auto,Agreements,"Bajaj Auto Limited has informed the Exchange about repayment of loans and resultant termination of loan agreements entered into by Bajaj Auto International Holdings BV, a wholly owned subsidiary of Bajaj Auto Limited.",Agreements,https://nsearchives.nseindia.com/corporate/lkwalimbe_bajajauto_co_in_06032026210332_SE_Intimation_BV_Bank_Loan_Termination_Signed.pdf,06-Mar-2026 21:03:50,2026-03-06 21:03:50,Bajaj Auto Limited,Automobiles - 2 And 3 Wheelers,NSE,nse_announcements,2026-03-19T05:07:19.376238
06099cba3d4bf7fa34e7b6127b88a522,BAJAJ-AUTO,Bajaj Auto,Agreements,"Bajaj Auto Limited has informed the Exchange about termination of loan agreement entered into between Bajaj Auto International Holdings BV, a wholly owned subsidiary of Bajaj Auto Limited and KTM AG, a step-down subsidiary of Bajaj Auto Limited.",Agreements,https://nsearchives.nseindia.com/corporate/lkwalimbe_bajajauto_co_in_05032026171843_SE_Intimation_BV_KTM_Loan_5_March_2026_Signed.pdf,05-Mar-2026 17:19:00,2026-03-05 17:18:59,Bajaj Auto Limited,Automobiles - 2 And 3 Wheelers,NSE,nse_announcements,2026-03-19T05:07:19.376238
8f176de3d394f536f6362534355d1940,BAJAJ-AUTO,Bajaj Auto,Press Release,"Bajaj Auto Limited has informed the Exchange regarding a press release dated March 02, 2026, titled ""Sales for the month of February 2026"".",Press Release,https://nsearchives.nseindia.com/corporate/lkwalimbe_bajajauto_co_in_02032026085616_Sales_Report_for_Feb_2026.pdf,02-Mar-2026 08:56:31,2026-03-02 08:56:30,Bajaj Auto Limited,Automobiles - 2 And 3 Wheelers,NSE,nse_announcements,2026-03-19T05:07:19.376238
efd12a7e3e36d358c3ce9ae91f3b9ac2,BAJAJ-AUTO,Bajaj Auto,Press Release,"Bajaj Auto Limited has informed the Exchange regarding a press release dated February 27, 2026, issued by Bajaj Mobility AG, a step-down subsidiary of Bajaj Auto Limited, titled: Its wholly-owned subsidiary, KTM AG, strengthened its financial base through a successful refinancing, setting a clear course for growth.",Press Release,https://nsearchives.nseindia.com/corporate/lkwalimbe_bajajauto_co_in_27022026234624_SE_Intimation_27_Feb_26_-_Signed.pdf,27-Feb-2026 23:46:37,2026-02-27 23:46:36,Bajaj Auto Limited,Automobiles - 2 And 3 Wheelers,NSE,nse_announcements,2026-03-19T05:07:19.376238
da5c5d3c834b661a305d30676ae541b3,BAJAJ-AUTO,Bajaj Auto,Agreements,"Bajaj Auto Limited has informed the Exchange about loan agreement entered into by KTM AG, a step-down subsidiary of Bajaj Auto Limited.",Agreements,https://nsearchives.nseindia.com/corporate/lkwalimbe_bajajauto_co_in_27022026233853_SE_Intimation_27_Feb_26_-_Signed.pdf,27-Feb-2026 23:39:07,2026-02-27 23:39:06,Bajaj Auto Limited,Automobiles - 2 And 3 Wheelers,NSE,nse_announcements,2026-03-19T05:07:19.376238
6a46b55a69e68a356d02c0d6c19c57a8,BAJAJ-AUTO,Bajaj Auto,General Updates,"Bajaj Auto Limited has informed the Exchange about ad-hoc announcement made by Bajaj Mobility AG (formerly PIERER Mobility AG), a step-down subsidiary of Bajaj Auto Limited titled - International banking consortium grants KTM AG a refinancing loan to strengthen its financial foundation.",General Updates,https://nsearchives.nseindia.com/corporate/lkwalimbe_bajajauto_co_in_27022026102654_SE_BMAG_KTM_AG_refinancing_loan_agreement_Signed.pdf,27-Feb-2026 10:27:22,2026-02-27 10:27:22,Bajaj Auto Limited,Automobiles - 2 And 3 Wheelers,NSE,nse_announcements,2026-03-19T05:07:19.376238
61d7e179e0d77648e3d5471e4dfc08f9,BAJAJ-AUTO,Bajaj Auto,Analysts/Institutional Investor Meet/Con. Call Updates,Bajaj Auto Limited has informed the Exchange about Schedule of meet,Analysts/Institutional Investor Meet/Con. Call Updates,https://nsearchives.nseindia.com/corporate/lkwalimbe_bajajauto_co_in_26022026165115_SE_-_ICICI_-_13_Mar_26.pdf,26-Feb-2026 16:51:26,2026-02-26 16:51:25,Bajaj Auto Limited,Automobiles - 2 And 3 Wheelers,NSE,nse_announcements,2026-03-19T05:07:19.376238
ce54d13e942865e0788c5ec778f39354,BAJAJ-AUTO,Bajaj Auto,Analysts/Institutional Investor Meet/Con. Call Updates,Bajaj Auto Limited has informed the Exchange about Schedule of meet,Analysts/Institutional Investor Meet/Con. Call Updates,https://nsearchives.nseindia.com/corporate/lkwalimbe_bajajauto_co_in_26022026164938_SE_-_Investec_-_12_Mar_26.pdf,26-Feb-2026 16:50:14,2026-02-26 16:50:13,Bajaj Auto Limited,Automobiles - 2 And 3 Wheelers,NSE,nse_announcements,2026-03-19T05:07:19.376238
930ca27eb7d0ec3f672a02ff3949e321,BAJAJ-AUTO,Bajaj Auto,News Verification,The Exchange has sought clarification from Bajaj Auto Limited with respect to recent news item captioned Bajaj Auto Partners with VDO.AI and Dentsu India to Drive High-Impact DCO-Led CTV Campaign for Triumph Motorcycles..  The response from the Company is attached.,News Verification,https://nsearchives.nseindia.com/corporate/lkwalimbe_bajajauto_co_in_26022026105438_Intimation_26_Feb_26.pdf,26-Feb-2026 10:55:05,2026-02-26 10:55:05,Bajaj Auto Limited,Automobiles - 2 And 3 Wheelers,NSE,nse_announcements,2026-03-19T05:07:19.376238
2cdbdbc2b30166b5bfee5fc1464d3cfa,BAJAJ-AUTO,Bajaj Auto,News Verification,The Exchange has sought clarification from Bajaj Auto Limited with respect to recent news item captioned Bajaj Auto Partners with VDO.AI and Dentsu India to Drive High-Impact DCO-Led CTV Campaign for Triumph Motorcycles..  The response from the Company is awaited.,News Verification,-,25-Feb-2026 15:58:03,2026-02-25 15:58:02,Bajaj Auto Limited,Automobiles - 2 And 3 Wheelers,NSE,nse_announcements,2026-03-19T05:07:19.376238
4618beb3da09da47059368ed26902243,BAJAJ-AUTO,Bajaj Auto,Press Release,"Bajaj Auto Limited has informed the Exchange regarding a press release dated February 09, 2026, titled ""Bajaj Auto Introduces WEGO P9018, the Largest Electric Three-Wheeler in the Industry, with India's Highest Range of 296 Kms in the Segment."".",Press Release,https://nsearchives.nseindia.com/corporate/lkwalimbe_bajajauto_co_in_09022026145118_SE_-_Press_Release_Bajaj_Wego.pdf,09-Feb-2026 14:51:31,2026-02-09 14:51:31,Bajaj Auto Limited,Automobiles - 2 And 3 Wheelers,NSE,nse_announcements,2026-03-19T05:07:19.376238
95ceffb9bf3d794448185b1222a88e03,BAJAJ-AUTO,Bajaj Auto,Analysts/Institutional Investor Meet/Con. Call Updates,Bajaj Auto Limited has informed the Exchange about Transcript,Analysts/Institutional Investor Meet/Con. Call Updates,https://nsearchives.nseindia.com/corporate/lkwalimbe_bajajauto_co_in_06022026165907_SE_-_Transcript_Q3_FY26.pdf,06-Feb-2026 16:59:25,2026-02-06 16:59:24,Bajaj Auto Limited,Automobiles - 2 And 3 Wheelers,NSE,nse_announcements,2026-03-19T05:07:19.376238
493e80fc9a3bdbe9e1dedfa019b19178,BAJAJ-AUTO,Bajaj Auto,General Updates,Bajaj Auto Limited has informed the Exchange about General Updates - Change in official e-mail ID of Chief Financial Officer of the Company.,General Updates,https://nsearchives.nseindia.com/corporate/lkwalimbe_bajajauto_co_in_04022026101947_SE_-_CFO_E-mail.pdf,04-Feb-2026 10:19:54,2026-02-04 10:19:54,Bajaj Auto Limited,Automobiles - 2 And 3 Wheelers,NSE,nse_announcements,2026-03-19T05:07:19.376238
8aa375279ad92a37e7de7e3685988e49,BAJAJ-AUTO,Bajaj Auto,Analysts/Institutional Investor Meet/Con. Call Updates,Bajaj Auto Limited has informed the Exchange about Schedule of meet,Analysts/Institutional Investor Meet/Con. Call Updates,https://nsearchives.nseindia.com/corporate/lkwalimbe_bajajauto_co_in_03022026171051_SE_-_Investec_India.pdf,03-Feb-2026 17:11:01,2026-02-03 17:11:01,Bajaj Auto Limited,Automobiles - 2 And 3 Wheelers,NSE,nse_announcements,2026-03-19T05:07:19.376238
